epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.2802,0.60885,0.9,1,0.41117,0.00014,0.00014,0.08614
2,21.62,0.41739,0.84,1,0.30337,0.000289717,0.000289717,0.0712897
3,23.7349,0.35444,0.88,1,0.24344,0.000438283,0.000438283,0.0564383
4,25.3741,0.29347,0.9,1,0.21296,0.000584827,0.000584827,0.0415848
5,28.0869,0.27686,0.92,1,0.18315,0.000728492,0.000728492,0.0267285
6,32.1091,0.25329,0.94,1,0.14826,0.000868438,0.000868438,0.0118684
7,36.1166,0.19289,0.98,1,0.10587,0.000965239,0.000965239,0.000965239
8,40.125,0.21647,0.98,1,0.11125,0.000952889,0.000952889,0.000952889
9,44.0968,0.24569,0.94,1,0.15272,0.000938772,0.000938772,0.000938772
10,48.0767,0.20662,0.94,1,0.14507,0.000922942,0.000922942,0.000922942
11,52.0924,0.15784,0.94,1,0.1641,0.000905463,0.000905463,0.000905463
12,56.0788,0.13192,0.98,1,0.1202,0.000886404,0.000886404,0.000886404
13,60.0719,0.1154,0.98,1,0.08183,0.000865839,0.000865839,0.000865839
14,64.0904,0.08202,0.98,1,0.06926,0.000843851,0.000843851,0.000843851
15,68.0883,0.083,0.98,1,0.0537,0.000820525,0.000820525,0.000820525
16,72.0821,0.09754,0.98,1,0.05641,0.000795954,0.000795954,0.000795954
17,76.023,0.09483,0.98,1,0.06762,0.000770234,0.000770234,0.000770234
18,80.0373,0.1155,0.98,1,0.05943,0.000743468,0.000743468,0.000743468
19,84.013,0.0872,0.98,1,0.06264,0.000715761,0.000715761,0.000715761
20,88.0117,0.13502,0.98,1,0.04609,0.000687222,0.000687222,0.000687222
21,91.9925,0.07859,0.98,1,0.0883,0.000657963,0.000657963,0.000657963
22,95.9825,0.06978,0.98,1,0.05457,0.000628101,0.000628101,0.000628101
23,100.006,0.06718,0.98,1,0.08,0.000597754,0.000597754,0.000597754
24,103.984,0.05269,0.98,1,0.04499,0.00056704,0.00056704,0.00056704
25,107.987,0.06373,0.98,1,0.04068,0.000536081,0.000536081,0.000536081
26,111.997,0.05644,1,1,0.04117,0.000505,0.000505,0.000505
27,115.966,0.11335,0.98,1,0.04388,0.000473919,0.000473919,0.000473919
28,119.999,0.06679,0.98,1,0.03334,0.00044296,0.00044296,0.00044296
29,124.13,0.04134,0.98,1,0.03938,0.000412246,0.000412246,0.000412246
30,128.146,0.02591,0.96,1,0.0952,0.000381899,0.000381899,0.000381899
31,132.132,0.06212,0.96,1,0.08329,0.000352037,0.000352037,0.000352037
32,136.123,0.04007,0.96,1,0.09675,0.000322778,0.000322778,0.000322778
33,140.095,0.04825,0.96,1,0.1256,0.000294239,0.000294239,0.000294239
34,144.07,0.11666,0.96,1,0.13914,0.000266532,0.000266532,0.000266532
35,148.093,0.03235,0.96,1,0.12471,0.000239766,0.000239766,0.000239766
36,152.077,0.03462,0.96,1,0.10053,0.000214046,0.000214046,0.000214046
37,156.034,0.04075,0.96,1,0.11271,0.000189475,0.000189475,0.000189475
38,160.031,0.09635,0.96,1,0.08758,0.000166149,0.000166149,0.000166149
39,164.029,0.04141,0.96,1,0.08845,0.000144161,0.000144161,0.000144161
40,168.043,0.07437,0.96,1,0.06167,0.000123596,0.000123596,0.000123596
